Time dependent variable (Data for Internet search growth of term 'Data Science'),,,,,,,,Time Independent variables  (Data for Countries of the world),,,,,,,,,,,
week,analytics,artificial intelligence,big data,data mining,data science,machine learning,python,Country,Population,Area (sq. mi.),Coastline (coast/area ratio),Infant mortality (per 1000 births),GDP ($ per capita),Literacy (%),Phones (per 1000),Crops (%),Other (%),Birthrate,Deathrate
21/12/2014,63,23,53,68,11,14,29,Afghanistan ,31056997,647500,"0,00","163,07",700,"36,0","3,2","0,22","87,65","46,6","20,34"
28/12/2014,59,22,54,60,13,13,28,Albania ,3581655,28748,"1,26","21,52",4500,"86,5","71,2","4,42","74,49","15,11","5,22"
04/01/2015,90,28,76,88,18,18,35,Algeria ,,2381740,"0,04",31,6000,"70,0","78,1","0,25","96,53","17,14","4,61"
11/01/2015,94,33,76,88,20,21,37,American Samoa ,57794,199,"58,29","9,27",8000,"97,0","259,5",15,75,"22,46","3,27"
18/01/2015,93,33,78,91,19,19,38,Andorra ,71201,468,"0,00","4,05",19000,"100,0","497,2",0,"97,78","8,71","6,25"
25/01/2015,93,31,79,82,20,20,38,Angola ,12127071,1246700,"0,13","191,19",1900,"42,0","7,8","0,24","97,35","45,11","24,2"
01/02/2015,97,33,81,93,18,20,40,Anguilla ,13477,102,"59,80","21,03",8600,"95,0","460,0",0,100,"14,17","5,34"
08/02/2015,99,32,83,96,18,21,40,Antigua & Barbuda ,69108,443,"34,54","19,46",11000,"89,0","549,9","4,55","77,27","16,93","5,37"
15/02/2015,95,34,82,87,18,20,39,Argentina ,39921833,2766890,"0,18","15,18",11200,"97,1","220,4","0,48","87,21","16,73","7,55"
22/02/2015,97,34,87,100,19,20,40,Armenia ,2976372,29800,"0,00","23,28",3500,"98,6","195,7","2,3","80,15","12,07","8,23"
01/03/2015,99,35,84,91,19,21,41,Aruba ,71891,193,"35,49","5,89",28000,"97,0","516,1",0,"89,47","11,03","6,68"
08/03/2015,96,35,89,94,19,21,41,Australia ,20264082,7686850,"0,34","4,69",29000,"100,0","565,5","0,04","93,41","12,14","7,51"
15/03/2015,96,30,86,88,18,19,40,Austria ,8192880,83870,"0,00","4,66",30000,"98,0","452,2","0,86","82,23","8,74","9,76"
22/03/2015,100,34,90,93,18,20,41,Azerbaijan ,7961619,86600,"0,00","81,74",3400,"97,0","137,1","2,71","77,66","20,74","9,75"
29/03/2015,94,31,84,90,19,21,40,"Bahamas, The ",303770,13940,"25,41","25,21",16700,"95,6","460,6","0,4","98,8","17,57","9,05"
05/04/2015,93,31,82,90,19,22,39,Bahrain ,698585,665,"24,21","17,27",16900,"89,1","281,3","5,63","91,55","17,8","4,14"
12/04/2015,95,32,86,97,21,24,41,Bangladesh ,147365352,144000,"0,40","62,6",1900,"43,1","7,3","3,07","34,82","29,8","8,27"
19/04/2015,95,32,84,98,19,23,41,Barbados ,279912,431,"22,51","12,5",15700,"97,4","481,9","2,33","60,46","12,71","8,67"
26/04/2015,94,36,81,91,20,22,40,Belarus ,10293011,207600,"0,00","13,37",6100,"99,6","319,1","0,6","69,85","11,16","14,02"
03/05/2015,96,38,83,95,21,22,40,Belgium ,10379067,30528,"0,22","4,68",29100,"98,0","462,6","0,4","76,32","10,38","10,27"
10/05/2015,91,37,78,84,22,21,39,Belize ,287730,22966,"1,68","25,69",4900,"94,1","115,7","1,71","95,44","28,84","5,72"
17/05/2015,94,36,85,87,21,21,40,Benin ,7862944,112620,"0,11",85,1100,"40,9","9,7","2,4","79,52","38,85","12,22"
24/05/2015,91,34,77,77,19,20,37,Bermuda ,65773,53,"194,34","8,53",36000,"98,0","851,4",0,80,"11,4","7,74"
31/05/2015,96,33,81,71,22,22,41,Bhutan ,2279723,47000,"0,00","100,44",1300,"42,2","14,3","0,43","96,48","33,65","12,7"
07/06/2015,93,28,79,74,20,22,40,Bolivia ,8989046,1098580,"0,00","53,11",2400,"87,2","71,9","0,19","97,14","23,3","7,53"
14/06/2015,94,32,79,75,21,20,41,Bosnia & Herzegovina ,4498976,51129,"0,04","21,05",6100,,"215,4","2,96","83,44","8,77","8,27"
21/06/2015,95,30,79,80,19,22,42,Botswana ,1639833,600370,"0,00","54,58",9000,"79,8","80,5","0,01","99,34","23,08","29,5"
28/06/2015,90,34,73,75,20,22,39,Brazil ,188078227,8511965,"0,09","29,61",7600,"86,4","225,3","0,9","92,15","16,56","6,17"
05/07/2015,91,32,74,77,20,22,40,British Virgin Is. ,23098,153,"52,29","18,05",16000,"97,8","506,5","6,67","73,33","14,89","4,42"
12/07/2015,90,32,72,69,19,23,41,Brunei ,379444,5770,"2,79","12,61",18600,"93,9","237,2","0,76","98,67","18,79","3,45"
19/07/2015,90,34,76,72,21,22,39,Bulgaria ,7385367,110910,"0,32","20,55",7600,"98,6","336,3","1,92","58,06","9,65","14,27"
26/07/2015,86,39,75,76,20,21,38,Burkina Faso ,13902972,274200,"0,00","97,57",1100,"26,6","7,0","0,19","85,38","45,62","15,6"
02/08/2015,87,32,71,75,22,22,39,Burma ,47382633,678500,"0,28","67,24",1800,"85,3","10,1","0,97","83,84","17,91","9,83"
09/08/2015,85,35,74,76,23,21,38,Burundi ,8090068,27830,"0,00","69,29",600,"51,6","3,4","14,02","50,93","42,22","13,46"
16/08/2015,85,31,76,76,23,22,38,Cambodia ,13881427,181040,"0,24","71,48",1900,"69,4","2,6","0,61","78,43","26,9","9,06"
23/08/2015,84,28,75,77,26,23,40,Cameroon ,17340702,475440,"0,08","68,26",1800,"79,0","5,7","2,58","84,61","33,89","13,47"
30/08/2015,88,31,80,84,25,23,42,Canada ,33098932,9984670,"2,02","4,75",29800,"97,0","552,2","0,02","95,02","10,78","7,8"
06/09/2015,87,33,83,86,27,24,42,Cape Verde ,420979,4033,"23,93","47,77",1400,"76,6","169,6","0,5","89,82","24,87","6,55"
13/09/2015,86,39,83,83,27,25,43,Cayman Islands ,45436,262,"61,07","8,19",35000,"98,0","836,3",0,"96,15","12,74","4,89"
20/09/2015,87,34,83,80,26,24,43,Central African Rep. ,4303356,622984,"0,00",91,1100,"51,0","2,3","0,14","96,76","33,91","18,65"
27/09/2015,86,35,85,88,26,24,43,Chad ,9944201,1284000,"0,00","93,82",1200,"47,5","1,3","0,02","97,12","45,73","16,38"
04/10/2015,89,34,86,87,27,27,44,Chile ,16134219,756950,"0,85","8,8",9900,"96,2","213,0","0,42","96,93","15,23","5,81"
11/10/2015,88,35,90,90,26,27,46,China ,1313973713,9596960,"0,15","24,18",5000,"90,9","266,7","1,25","83,35","13,25","6,97"
18/10/2015,87,33,82,81,26,26,44,Colombia ,43593035,1138910,"0,28","20,97",6300,"92,5","176,2","1,67","95,91","20,48","5,58"
25/10/2015,85,36,87,84,23,27,45,Comoros ,690948,2170,"15,67","74,93",700,"56,5","24,5","23,32","40,81","36,93","8,2"
01/11/2015,88,36,87,89,26,28,44,"Congo, Dem. Rep. ",62660551,2345410,"0,00","94,69",700,"65,5","0,2","0,52","96,52","43,69","13,27"
08/11/2015,81,39,78,78,23,31,44,"Congo, Repub. of the ",3702314,342000,"0,05","93,86",700,"83,8","3,7","0,13","99,36","42,57","12,93"
15/11/2015,87,38,83,89,24,28,46,Cook Islands ,21388,240,"50,00",,5000,"95,0","289,9","13,04","69,57",21,
22/11/2015,80,34,83,86,21,26,43,Costa Rica ,4075261,51100,"2,52","9,95",9100,"96,0","340,7","5,88","89,71","18,32","4,36"
29/11/2015,87,39,82,89,23,28,45,Cote d'Ivoire ,17654843,322460,"0,16","90,83",1400,"50,9","14,6","13,84","76,41","35,11","14,84"
06/12/2015,82,39,83,90,27,26,45,Croatia ,4494749,56542,"10,32","6,84",10600,"98,5","420,4","2,27","71,65","9,61","11,48"
13/12/2015,80,37,76,84,26,29,44,Cuba ,11382820,110860,"3,37","6,33",2900,"97,0","74,7","7,6","59,35","11,89","7,22"
20/12/2015,60,29,60,59,19,24,36,Cyprus ,784301,9250,"7,01","7,18",19200,"97,6",,"4,44","87,77","12,56","7,68"
27/12/2015,52,27,55,57,20,21,33,Czech Republic ,10235455,78866,"0,00","3,93",15700,"99,9","314,3","3,05","57,15","9,02","10,59"
03/01/2016,75,48,73,74,25,26,44,Denmark ,5450661,43094,"16,97","4,56",31100,"100,0","614,6","0,19","45,79","11,13","10,36"
10/01/2016,78,38,75,72,25,26,46,Djibouti ,486530,23000,"1,37","104,13",1300,"67,9","22,8",0,"99,96","39,53","19,31"
17/01/2016,79,37,81,83,30,28,49,Dominica ,68910,754,"19,63","14,15",5400,"94,0","304,8",20,"73,33","15,27","6,73"
24/01/2016,80,39,83,81,30,30,50,Dominican Republic ,9183984,48730,"2,64","32,38",6000,"84,7","97,4","10,33","67,02","23,22","5,73"
31/01/2016,85,36,86,82,30,30,52,East Timor ,1062777,15007,"4,70","47,41",500,"58,6",,"0,67","94,62","26,99","6,24"
07/02/2016,80,34,83,82,27,29,50,Ecuador ,13547510,283560,"0,79","23,66",3300,"92,5","125,6","4,93","89,22","22,29","4,23"
14/02/2016,80,34,90,79,27,29,49,Egypt ,78887007,1001450,"0,24","32,59",4000,"57,7","131,8","0,48","96,65","22,94","5,23"
21/02/2016,81,38,92,83,28,30,52,El Salvador ,6822378,21040,"1,46","25,1",4800,"80,2","142,4","12,07","56,08","26,61","5,78"
28/02/2016,84,37,91,85,26,28,53,Equatorial Guinea ,540109,28051,"1,06","85,13",2700,"85,7","18,5","3,57","91,8","35,59","15,06"
06/03/2016,83,42,90,88,26,32,52,Eritrea ,4786994,121320,"1,84","74,87",700,"58,6","7,9","0,03","95,02","34,33","9,6"
13/03/2016,80,43,83,82,26,33,50,Estonia ,1324333,45226,"8,39","7,87",12300,"99,8","333,8","0,45","83,51","10,04","13,25"
20/03/2016,73,42,76,74,24,31,50,Ethiopia ,74777981,1127127,"0,00","95,32",700,"42,7","8,2","0,75","88,54","37,98","14,86"
27/03/2016,73,42,79,81,26,32,49,Faroe Islands ,47246,1399,"79,84","6,24",22000,,"503,8",0,"97,86","14,05","8,7"
03/04/2016,78,41,85,86,28,34,51,Fiji ,905949,18270,"6,18","12,62",5800,"93,7","112,6","4,65","84,4","22,55","5,65"
10/04/2016,77,38,84,83,26,30,53,Finland ,5231372,338145,"0,37","3,57",27400,"100,0","405,3","0,03","92,78","10,45","9,86"
17/04/2016,76,39,86,82,26,32,52,France ,60876136,547030,"0,63","4,26",27600,"99,0","586,4","2,07","64,4","11,99","9,14"
24/04/2016,73,40,82,84,26,31,51,French Guiana ,199509,91000,"0,42","12,07",8300,"83,0","255,6","0,05","99,81","20,46","4,88"
01/05/2016,75,38,82,80,26,32,48,French Polynesia ,274578,4167,"60,60","8,44",17500,"98,0","194,5","5,46","93,72","16,68","4,69"
08/05/2016,79,38,86,82,30,32,51,Gabon ,1424906,267667,"0,33","53,64",5500,"63,2","27,4","0,66","98,08","36,16","12,25"
15/05/2016,74,39,82,74,29,33,49,"Gambia, The ",1641564,11300,"0,71","72,02",1700,"40,1","26,8","0,5","74,5","39,37","12,25"
22/05/2016,76,39,86,77,29,34,53,Gaza Strip ,1428757,360,"11,11","22,93",600,,"244,3","21,05",50,"39,45","3,8"
29/05/2016,74,37,84,75,26,32,51,Georgia ,4661473,69700,"0,44","18,59",2500,"99,0","146,6","3,86","84,7","10,41","9,23"
05/06/2016,78,34,81,72,28,34,51,Germany ,82422299,357021,"0,67","4,16",27600,"99,0","667,9","0,59","65,56","8,25","10,62"
12/06/2016,74,35,78,67,29,32,50,Ghana ,22409572,239460,"0,23","51,43",2200,"74,8","14,4","9,67","74,07","30,52","9,72"
19/06/2016,74,34,77,62,28,34,51,Gibraltar ,27928,7,"171,43","5,13",17500,,"877,7",0,100,"10,74","9,31"
26/06/2016,75,33,81,62,26,33,49,Greece ,10688058,131940,"10,37","5,53",20000,"97,5","589,7","8,78","70,12","9,68","10,24"
03/07/2016,69,32,75,57,26,31,47,Greenland ,56361,2166086,"2,04","15,82",20000,,"448,9",0,100,"15,93","7,84"
10/07/2016,68,32,75,65,28,30,47,Grenada ,89703,344,"35,17","14,62",5000,"98,0","364,5","29,41","64,71","22,08","6,88"
17/07/2016,69,30,76,64,29,32,50,Guadeloupe ,452776,1780,"17,19","8,6",8000,"90,0","463,8","3,55","85,21","15,05","6,09"
24/07/2016,68,30,77,63,27,30,48,Guam ,171019,541,"23,20","6,94",21000,"99,0","492,0","16,36","74,55","18,79","4,48"
31/07/2016,69,29,72,61,29,32,48,Guatemala ,12293545,108890,"0,37","35,93",4100,"70,6","92,1","5,03","82,43","29,88","5,2"
07/08/2016,65,30,70,64,28,31,46,Guernsey ,65409,78,"64,10","4,71",20000,,"842,4",,,"8,81","10,01"
14/08/2016,62,30,62,58,27,28,41,Guinea ,9690222,245857,"0,13","90,37",2100,"35,9","2,7","2,58","93,79","41,76","15,48"
21/08/2016,68,31,77,67,33,36,48,Guinea-Bissau ,1442029,36120,"0,97","107,17",800,"42,4","7,4","8,82","80,51","37,22","16,53"
28/08/2016,68,34,81,67,34,32,50,Guyana ,767245,214970,"0,21","33,26",4000,"98,8","143,5","0,15","97,41","18,28","8,28"
04/09/2016,70,35,81,68,35,36,50,Haiti ,8308504,27750,"6,38","73,45",1600,"52,9","16,9","11,61","60,09","36,44","12,17"
11/09/2016,70,36,86,70,39,37,52,Honduras ,7326496,112090,"0,73","29,32",2600,"76,2","67,5","3,22","87,23","28,24","5,28"
18/09/2016,71,40,90,78,38,40,55,Hong Kong ,6940432,1092,"67,12","2,97",28800,"93,5","546,7","1,01","93,94","7,29","6,29"
25/09/2016,71,41,85,78,35,41,56,Hungary ,9981334,93030,"0,00","8,57",13900,"99,4","336,2","2,06","47,85","9,72","13,11"
02/10/2016,71,42,83,71,33,41,54,Iceland ,299388,103000,"4,83","3,31",30900,"99,9","647,7",0,"99,93","13,64","6,72"
09/10/2016,72,50,82,73,33,40,56,India ,1095351995,3287590,"0,21","56,29",2900,"59,5","45,4","2,74","42,86","22,01","8,18"
16/10/2016,73,45,87,93,35,42,56,Indonesia ,245452739,1919440,"2,85","35,6",3200,"87,9","52,0","7,23","81,45","20,34","6,25"
23/10/2016,74,44,87,78,35,43,57,Iran ,68688433,1648000,"0,15","41,58",7000,"79,4","276,4","1,39","89,89",17,"5,55"
30/10/2016,75,45,83,78,35,44,59,Iraq ,26783383,437072,"0,01","50,25",1500,"40,4","38,6","0,78","86,07","31,98","5,37"
06/11/2016,74,44,86,80,36,42,57,Ireland ,4062235,70280,"2,06","5,39",29600,"98,0","500,5","0,03","84,77","14,45","7,82"
13/11/2016,78,49,93,88,36,46,62,Isle of Man ,75441,572,"27,97","5,93",21000,,"676,0",0,91,"11,05","11,19"
20/11/2016,75,47,85,84,32,44,55,Israel ,6352117,20770,"1,31","7,03",19800,"95,4","462,3","4,17","79,44","17,97","6,18"
27/11/2016,80,52,91,89,37,47,60,Italy ,58133509,301230,"2,52","5,94",26700,"98,6","430,9","9,53","62,68","8,72","10,4"
04/12/2016,78,52,89,85,37,48,59,Jamaica ,2758124,10991,"9,30","12,36",3900,"87,9","124,0","10,16","73,77","20,82","6,52"
11/12/2016,75,49,82,76,35,46,57,Japan ,127463611,377835,"7,87","3,26",28200,"99,0","461,2","0,96","86,85","9,37","9,16"
18/12/2016,67,45,72,71,32,43,51,Jersey ,91084,116,"60,34","5,24",24800,,"811,3",0,100,"9,3","9,28"
25/12/2016,48,40,57,55,25,34,42,Jordan ,5906760,92300,"0,03","17,35",4300,"91,3","104,5","1,83","95,5","21,25","2,65"
01/01/2017,67,47,70,66,37,44,51,Kazakhstan ,15233244,2717300,"0,00","29,21",6300,"98,4","164,1","0,05","91,97",16,"9,42"
08/01/2017,76,48,85,73,43,49,58,Kenya ,34707817,582650,"0,09","61,47",1000,"85,1","8,1","0,98","90,94","39,72","14,02"
15/01/2017,76,47,85,78,44,49,59,Kiribati ,105432,811,"140,94","48,52",800,,"42,7","50,68","46,58","30,65","8,26"
22/01/2017,76,47,85,74,44,50,60,"Korea, North ",23113019,120540,"2,07","24,04",1300,"99,0","42,4","2,49","76,75","15,54","7,13"
29/01/2017,79,48,90,79,43,51,61,"Korea, South ",48846823,98480,"2,45","7,05",17800,"97,9","486,1","1,95","80,87",10,"5,85"
05/02/2017,80,48,93,77,41,53,64,Kuwait ,2418393,17820,"2,80","9,95",19000,"83,5","211,0","0,11","99,16","21,94","2,41"
12/02/2017,79,48,91,80,40,55,64,Kyrgyzstan ,5213898,198500,"0,00","35,64",1600,"97,0","84,0","0,35","92,35","22,8","7,08"
19/02/2017,80,52,90,78,44,53,65,Laos ,6368481,236800,"0,00","85,22",1700,"66,4","14,1","0,35","95,85","35,49","11,55"
